School Name,State,Enrollment,School Type,AD First,AD Last,AD Email,AD Phone,Fball First,Fball Last,Mascot,Colors,Conference,Address,City,Zip Code,Phone Number,School Website,Athletic Website
SOUTH KITSAP HIGH SCHOOL,Washington,2600,Public,Ed,Santos,santosjr@skitsap.wednet.edu, ,Eric,Canton,Wolves,Maroon Gold White ,Narrows ,425 MITCHELL AVE ,PORT ORCHARD,98366,(360) 874-5731 ,,http://www.skitap.wednet.edu
AUBURN HIGH SCHOOL,Washington,2500,Public,Bob,Jones,bjones@auburn.wednet.edu, ,Gordon,Elliott,Trojans,Forest Gold White ,South Puget Sound League ,800 4TH ST NE ,AUBURN,98002,(253) 931-4888 ,,http://www.auburn.wednet.edu
MARYSVILLE-PILCHUCK HIGH SCHOOL,Washington,2325,Public,Paul,G,Paul_Dockendorf@msvl.k12.wa.us,(360) 657-6168 ,Brandon,Carson,Tomahawks,Red White ,WESCO ,5611 108TH ST NE ,MARYSVILLE,98271,(360) 657-6129 ,http://www.msvl.k12.wa.us,http://www.msvl.k12.wa.us
KENTRIDGE HIGH SCHOOL,Washington,2300,Public,Eric,Anderson,eric.anderson@kent.k12.wa.us, ,Marty,Osborn,Chargers,Green Gold ,SPSL ,12430 SE 208TH ST ,KENT,98031,(253) 373-7343 ,,http://www.kent.k12.wa.us
BATTLE GROUND HIGH SCHOOL,Washington,2250,Public,Andy,Schoonover,schoonover.andrew@battlegroundps.org,(360) 885-6562 ,Larry,Peck,Tigers,Black Orange White ,GSHL 4A ,PO BOX 200 ,BATTLE GROUND,98604,(360) 885-6561 ,,http://www.bgsd.k12.wa.us
HERITAGE HIGH SCHOOL,Washington,2200,Public,Leta,Meyer,leta.meyer@evergreenps.org,(360) 604-3405 ,Jack,Hathaway,Timberwolves,Purple Forest White ,Greater St Helens League ,7825 NE 130TH AVE ,VANCOUVER,98682,(360) 604-3410 ,,http://schools.evergreenps.org/hhs/site/default.asp
KAMIAK HIGH SCHOOL,Washington,2200,Public,MajSean,Monica,monicasp@mukilteo.wednet.edu, ,Dan,Mack,Kamiak Knights,Purple Silver White ,Western Conference 4A ,10801 HARBOUR POINTE BLVD ,MUKILTEO,98275,(425) 366-5470 ,http://schools.mukilteo.wednet.edu/ka,http://schools.mukilteo.wednet.edu/ka
LAKE STEVENS HIGH SCHOOL,Washington,2150,Public,Ed,Bailey,ed_bailey@lkstevens.wednet.edu,(425) 335-1527 ,Tom,Tri,Vikings,Purple Gold ,WESCO ,2908 113TH AVE NE ,LAKE STEVENS,98258,(425) 335-1516 ,http://viking.lkstevens.wednet.edu/,
KENT-MERIDIAN HIGH SCHOOL,Washington,2100,Public,Ron,Hartley,Ronald.hartley@kent.k12.wa.us, ,Brett,Allen,Royals,Blue Red White ,South Puget Sound ,10020 SE 256TH ST ,KENT,98030,(253) 373-7545 ,http://www.kent.k12.wa.us,http://www.kent.k12.wa.us
MOSES LAKE HIGH SCHOOL,Washington,2053,Public,Loren,Sandhop,lsandhop@mlsd.wednet.edu,2921,Todd,Griffith,Chiefs,Maroon Gold ,Columbia Basin League ,803 SHARON AVE E ,MOSES LAKE,98837,(509) 766-2666 2921,,http://www.chiefathletics.org
